gene	logFCInfectedvsMock24	logFCInfected12vs4	logFCInfected24vs4	DEInfectedvsMock24	DEInfected12vs4	DEInfected24vs4
CCR4	5.01962583133836	2.9065059722812	5.99601963732723	TRUE	FALSE	TRUE
MAFB	5.01962583133836	1.61314278214939	2.17940712290206	TRUE	FALSE	FALSE
CMPK2	5.00411953169529	4.61010295866599	4.83778891014818	TRUE	TRUE	TRUE
GNG7	-5.00132694076752	-0.499882155103649	-4.41278370766627	TRUE	FALSE	TRUE
PYY2	4.98446902887004	0.202678023328837	1.66555533746545	TRUE	FALSE	FALSE
MRC1	4.98446902887004	0.858873189269031	2.9432351903909	TRUE	FALSE	FALSE
GBP7	4.98396298602151	4.95527485069442	5.82695287096541	TRUE	TRUE	TRUE
CHRDL1	4.98311504622956	1.43060105267631	6.93695695504749	TRUE	FALSE	TRUE
STX11	4.96675631413379	1.61572293571236	2.16294196994801	TRUE	FALSE	TRUE
AC099489.3	4.96022348229382	2.84100865323624	5.95626334937521	TRUE	FALSE	TRUE
DHX58	4.95585845449152	3.7248528743545	5.04375181365413	TRUE	TRUE	TRUE
TNFSF13B	4.95528328551396	5.57091251767698	5.68157423839769	TRUE	TRUE	TRUE
SPTA1	4.92633997637325	4.13611551467225	4.46118939099282	TRUE	TRUE	TRUE
CEACAMP10	4.92506278438363	NA	NA	TRUE	FALSE	FALSE
SPAG17	4.92023774408392	2.99088743472346	6.2552407484701	TRUE	FALSE	TRUE
ISG20	4.91260582659416	2.70263314243785	3.57038704915083	TRUE	TRUE	TRUE
HLA-DOB	4.90763474819285	3.33135476744798	5.24795856069209	TRUE	TRUE	TRUE
NLRC5	4.90431731662993	4.20175621648557	4.16789002196289	TRUE	TRUE	TRUE
AC018644.1	4.90368138373858	4.68780253991956	6.03765099301191	TRUE	TRUE	TRUE
GRIK5	4.89571202178229	-0.583973829761289	2.40871670173382	TRUE	FALSE	TRUE
LAMP3	4.89169966226168	3.89839476639239	4.70453830115475	TRUE	TRUE	TRUE
BBC3	4.89115451876864	3.91353989456454	4.76035218409321	TRUE	TRUE	TRUE
MX2	4.88879551632448	3.90851699153705	4.02327751200815	TRUE	TRUE	TRUE
SLC1A3	4.83986135629575	4.40874545964312	5.70986057552219	TRUE	TRUE	TRUE
C6orf58	4.83248572685714	3.77102835256548	4.9673720545336	TRUE	TRUE	TRUE
SLC16A6	4.78361729611896	0.00133431361553335	2.9074398213021	TRUE	FALSE	TRUE
SUSD3	4.77624711680916	1.74648801223382	3.04539482810359	TRUE	FALSE	TRUE
AL645929.3	4.77120118081246	2.56425857678277	4.08380039597995	TRUE	TRUE	TRUE
ANXA13	-4.76640188240482	-1.78774576738214	-4.23552347653691	TRUE	FALSE	TRUE
AC009220.1	4.76631473475328	3.8663164718727	6.72974143360559	TRUE	FALSE	TRUE
DUOX1	4.75878676014689	3.01211732934463	3.93618136387828	TRUE	TRUE	TRUE
IFITM2	4.75505913939703	2.06684954196068	4.09819623399019	TRUE	TRUE	TRUE
HSD17B14	4.75169676976661	3.2565714964676	4.12065420279745	TRUE	TRUE	TRUE
FGD2	4.73531887283314	1.35143763645176	2.40155964566413	TRUE	FALSE	FALSE
ADH6	-4.73153866578806	NA	NA	TRUE	FALSE	FALSE
PRDM1	4.71657400820962	1.32183859022537	2.142252893159	TRUE	FALSE	TRUE
OTUD1	4.71536743502701	2.64474276289279	3.99525964401328	TRUE	TRUE	TRUE
SPTB	4.69737050484407	4.42375793189804	6.69731378038593	TRUE	FALSE	TRUE
BHLHE40-AS1	-4.68407046925441	-1.51671579708435	-3.95685986963055	TRUE	FALSE	FALSE
BATF2	4.67943749920934	4.34802736691774	4.44020617209662	TRUE	TRUE	TRUE
AL513534.2	-4.66717462186438	-1.34225058837512	-4.0187363843056	TRUE	FALSE	FALSE
CX3CL1	4.6671018099158	3.89251944551831	3.99169150220984	TRUE	TRUE	TRUE
IFI27	4.66199032039937	1.99595852196348	4.35745897822213	TRUE	TRUE	TRUE
HERC5	4.65853062867666	4.61398843828839	5.21624332473649	TRUE	TRUE	TRUE
GFPT2	4.63973304014276	2.13184372860059	3.57792459059349	TRUE	FALSE	TRUE
APOL4	4.63734540923836	5.78616242643875	6.47784812874508	TRUE	TRUE	TRUE
RASGRP3	4.63441464241217	3.81834088123138	3.90945710407304	TRUE	TRUE	TRUE
LRRIQ3	-4.62750322726497	0.458043908117101	-3.10820577236012	TRUE	FALSE	FALSE
MAFA	4.62627477804353	-1.04724199841861	4.68301695764878	TRUE	FALSE	TRUE
SECTM1	4.62309818737482	3.41266064557158	3.94185072209039	TRUE	TRUE	TRUE
MEG9	4.60997198592556	3.07584756622544	4.14732109691061	TRUE	TRUE	TRUE
IFITM1	4.588475991007	1.87587202062068	3.97483014953016	TRUE	TRUE	TRUE
NFKBIA	4.58537874134678	3.40683164102741	4.01942866032842	TRUE	TRUE	TRUE
GMPR	4.5815955483092	4.58389660542036	4.98074257260547	TRUE	TRUE	TRUE
CCL22	4.57014617756006	2.82330286745136	3.01467484191214	TRUE	TRUE	TRUE
IFIT1	4.55559110114911	4.78648686672634	4.91933891085036	TRUE	TRUE	TRUE
MEFV	4.54954619777465	4.75643643947547	6.52085903339323	TRUE	FALSE	TRUE
TNFAIP3	4.54465786837895	3.38692288501309	2.92297597291436	TRUE	TRUE	TRUE
LYPD6B	-4.53955238505676	-1.47083672002586	-3.90958592887982	TRUE	FALSE	FALSE
SLC6A12	4.52584577790605	2.13140069760554	3.45790789872341	TRUE	FALSE	TRUE
PGLYRP2	4.52426630998754	7.14989787746513	7.11684273832636	TRUE	TRUE	TRUE
LUCAT1	4.48470114517975	1.58898696774795	2.27366831534906	TRUE	TRUE	TRUE
CSF2	4.4756481847188	2.65772737549392	1.10087185211341	TRUE	TRUE	FALSE
AL031577.1	4.4756481847188	2.0643210055189	3.44120097217753	TRUE	FALSE	TRUE
AC005070.3	4.45925237958968	1.21226794955273	4.00142459627334	TRUE	FALSE	TRUE
CYP1A1	4.43874417682604	1.82620165082471	1.70839853040383	TRUE	TRUE	TRUE
USP30-AS1	4.4368466149197	6.08671512254146	6.77774472081709	TRUE	TRUE	TRUE
